task,created_time,completion_time,latency,location
Device 0 (Cloud),5,12,7,Cloud
Device 1 (Cloud),5,11,6,Cloud
Device 2 (Cloud),5,9,4,Cloud
Device 3 (Cloud),5,10,5,Cloud
Device 4 (Cloud),5,11,6,Cloud
Device 0 (Cloud),10,16,6,Cloud
Device 1 (Fog),10,11,1,Fog
Device 2 (Fog),10,13,3,Fog
Device 3 (Fog),10,11,1,Fog
Device 4 (Fog),10,12,2,Fog
Device 0 (Cloud),15,18,3,Cloud
Device 1 (Fog),15,18,3,Fog
Device 2 (Cloud),15,18,3,Cloud
Device 3 (Fog),15,18,3,Fog
Device 4 (Cloud),15,18,3,Cloud
Device 0 (Cloud),20,24,4,Cloud
Device 1 (Cloud),20,27,7,Cloud
Device 2 (Cloud),20,24,4,Cloud
Device 3 (Fog),20,21,1,Fog
Device 4 (Fog),20,21,1,Fog
Device 0 (Cloud),25,28,3,Cloud
Device 1 (Cloud),25,30,5,Cloud
Device 2 (Cloud),25,31,6,Cloud
Device 3 (Cloud),25,29,4,Cloud
Device 4 (Fog),25,27,2,Fog
Device 0 (Fog),30,31,1,Fog
Device 1 (Fog),30,31,1,Fog
Device 2 (Cloud),30,35,5,Cloud
Device 3 (Fog),30,31,1,Fog
Device 4 (Fog),30,31,1,Fog
Device 0 (Fog),35,36,1,Fog
Device 1 (Cloud),35,40,5,Cloud
Device 2 (Fog),35,36,1,Fog
Device 3 (Cloud),35,42,7,Cloud
Device 4 (Fog),35,36,1,Fog
Device 0 (Cloud),40,43,3,Cloud
Device 1 (Cloud),40,45,5,Cloud
Device 2 (Cloud),40,47,7,Cloud
Device 3 (Cloud),40,44,4,Cloud
Device 4 (Fog),40,43,3,Fog
Device 0 (Fog),45,47,2,Fog
Device 1 (Cloud),45,51,6,Cloud
Device 2 (Cloud),45,52,7,Cloud
Device 3 (Fog),45,46,1,Fog
Device 4 (Fog),45,46,1,Fog
Device 0 (Cloud),50,57,7,Cloud
Device 1 (Fog),50,52,2,Fog
Device 2 (Cloud),50,55,5,Cloud
Device 3 (Fog),50,52,2,Fog
Device 4 (Fog),50,53,3,Fog
Device 0 (Cloud),55,58,3,Cloud
Device 1 (Cloud),55,62,7,Cloud
Device 2 (Fog),55,56,1,Fog
Device 3 (Fog),55,58,3,Fog
Device 4 (Fog),55,56,1,Fog
Device 0 (Fog),60,61,1,Fog
Device 1 (Cloud),60,64,4,Cloud
Device 2 (Fog),60,63,3,Fog
Device 3 (Fog),60,61,1,Fog
Device 4 (Cloud),60,63,3,Cloud
Device 0 (Cloud),65,71,6,Cloud
Device 1 (Cloud),65,72,7,Cloud
Device 2 (Fog),65,68,3,Fog
Device 3 (Fog),65,67,2,Fog
Device 4 (Cloud),65,70,5,Cloud
Device 0 (Cloud),70,73,3,Cloud
Device 1 (Fog),70,72,2,Fog
Device 2 (Fog),70,72,2,Fog
Device 3 (Fog),70,71,1,Fog
Device 4 (Fog),70,72,2,Fog
Device 0 (Cloud),75,81,6,Cloud
Device 1 (Cloud),75,78,3,Cloud
Device 2 (Fog),75,76,1,Fog
Device 3 (Fog),75,78,3,Fog
Device 4 (Cloud),75,81,6,Cloud
Device 0 (Cloud),80,87,7,Cloud
Device 1 (Fog),80,82,2,Fog
Device 2 (Fog),80,81,1,Fog
Device 3 (Cloud),80,84,4,Cloud
Device 4 (Fog),80,81,1,Fog
Device 0 (Fog),85,86,1,Fog
Device 1 (Cloud),85,91,6,Cloud
Device 2 (Fog),85,87,2,Fog
Device 3 (Cloud),85,92,7,Cloud
Device 4 (Cloud),85,92,7,Cloud
Device 0 (Fog),90,92,2,Fog
Device 1 (Fog),90,92,2,Fog
Device 2 (Fog),90,91,1,Fog
Device 3 (Cloud),90,94,4,Cloud
Device 4 (Fog),90,91,1,Fog
Device 0 (Cloud),95,99,4,Cloud
Device 1 (Fog),95,98,3,Fog
Device 2 (Fog),95,97,2,Fog
